,Unnamed: 0,사이트,검색 키워드,기업이름,포지션이름,포지션이름 전처리,마감일,상시 채용 여부,경력_min,경력_max,학력,학력 세부정보,제출서류,채용절차,채용형태_전처리,근무시간,근무장소 시,근무장소 구,근무형태,Hard Skill,Soft Skill,Tool,hard plus,soft plus,tool plus,산업군 전처리,설립,사원 수,기업 평균 연봉,기업 유형 전처리,기업 유형 전처리 _세부,매출액,Unnamed: 32,접수방법,총점,복지 및 급여,업무와 삶의 균형,사내문화,승진 기회,경영진,기업추천율,CEO 지지율,성장 가능성,하이라이트+태그,퇴사,입사,링크,sql,Python,r,R,tableau,powerbi,aws,kubernetes,kaflka,keras,nlp,pytorch,redash,streamlit,lookerstudio,devops,hadoop,bigquery,spark,hive,firebase,snowflake,databricks,airflow,GA
209,209,링크드인,dataanalyst,센트비,dataanalyst,데이터분석가,999,999,7,999,999,nan,"이력서,포트폴리오",서류전형>1차인터뷰전형>2차인터뷰전형>처우협의>최종합격,999,풀타임,서울,강남,999,"데이터분석,app/web서비스데이터,funnel분석,코호트분석,retention,clv","결과해석,인사이트도출,영어로소통,분석방법론,경력4년","sql,python,tableau,redash","데이터마트,데이터파이프라인구축",회계재무지식,999,금융,2015,110,"5,331",스타트업,999,"27.1억원
",nan,링크드인지원,2.9,2.9,3.1,3.3,2.8,2.6,43,57,36,"연봉업계평균이상,지속성장중인기업,요즘뜨는산업,간식

자기계발

동호회

핀테크

연봉업계평균이상

인원급성장

51~300명

설립4~9년

금융",9,17,https://www.linkedin.com/jobs/search/?currentjobid=3879331284&distance=25&geoid=105149562&keywords=data%20analyst&origin=jobs_home_keyword_history&refresh=true#hym,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,210,링크드인,dataanalyst,vivarepublica(toss),dataanalyst,데이터분석가,999,999,7,999,999,nan,"이력서
이력서는이렇게작성하시는걸추천해요

그동안해오신업무중임팩트있었던프로젝트를구체적으로적어주세요.
진행했던프로젝트의문제정의-가설설정-실험설계및검증-결과의과정이드러나면좋아요.
데이터분석으로서비스이용유저에대해깊이이해하고이를통해액션을제시하신경험이있다면적어주세요.
모바일서비스데이터분석방법(ltv,aarrr,cohort,funnel등)을깊게활용해봤는지확인하고있어요.
목표를달성했다면이탈률,전환율,매출액등지표의개선을수치로나타내주면좋아요.(외부공개가민감한사항일경우,해당부분은제외하여주세요.)",서류접수>사전쿼리테스트>직무인터뷰>문화적합성인터뷰>레퍼런스체크>처우협의>최종합격및입사,999,풀타임,서울,999,999,"데이터추출,데이터정제,app/web서비스데이터,funnel분석,코호트분석,retention,clv,a/b테스트,지표설정,데이터시각화,대시보드구축","논리적사고,문제정의,가설수립,인사이트도출","tableau,sql",999,999,999,금융,2013,924,"8,153",스타트업,999,"3,361억7,217만원",nan,링크드인지원,3.6,4.2,2.3,3.4,3.4,3.3,59,74,63,"연봉상위1%
누적투자100억이상
인원급성장
퇴사율6~10%
301~1,000명
설립10년이상
성과급
상여금
커피
사내카페
단체보험
통신비
재택근무
it,컨텐츠",287,347,https://www.linkedin.com/jobs/search/?currentjobid=3227516831&distance=25&geoid=105149562&keywords=data%20analyst&origin=jobs_home_keyword_history&refresh=true,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,211,링크드인,dataanalyst,vivarepublica(toss),dataanalyst,데이터분석가,999,999,7,999,999,nan,"이력서
이력서는이렇게작성하시는걸추천해요

그동안해오신업무중임팩트있었던프로젝트를구체적으로적어주세요.
비즈니스데이터분석으로사업에대해깊이이해하고이를통해액션을제시하신경험이있다면적어주세요.
목표를달성했다면이탈률,수익률,매출액등지표의개선을수치로나타내주면좋아요.(외부공개가민감한사항일경우,해당부분은제외하여주세요.)",서류접수>사전쿼리테스트>직무인터뷰>문화적합성인터뷰>레퍼런스체크>처우협의>최종합격및입사,999,풀타임,서울,999,999,"데이터분석,데이터추출,데이터정제,비즈니스분석,자동화,데이터시각화,광고/커머스지식","논리적사고,분석적사고,인사이트도출,커뮤니케이션","sql,tableau",999,999,999,금융,2013,924,"8,153",스타트업,999,"3,361억7,217만원",nan,링크드인지원,3.6,4.2,2.3,3.4,3.4,3.3,59,74,63,"연봉상위1%
누적투자100억이상
인원급성장
퇴사율6~10%
301~1,000명
설립10년이상
성과급
상여금
커피
사내카페
단체보험
통신비
재택근무
it,컨텐츠",287,347,https://www.linkedin.com/jobs/search/?currentjobid=3815638263&distance=25&geoid=105149562&keywords=data%20analyst&origin=jobs_home_keyword_history&refresh=true,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,212,링크드인,dataanalyst,29cm,dataanalyst,데이터분석가,999,999,7,999,999,nan,"이력서(필수),포트폴리오(선택)
*포트폴리오용량초과시이력서에링크로첨부해주세요.(제출전접근권환확인)",999,999,풀타임,서울,999,재택대면혼합,"데이터분석,데이터추출,데이터가공,비즈니스분석,코호트분석,a/b테스트,퍼널분석,","논리적사고,비판적사고,의사결정능력,분석방법론,인사이트도출,커뮤니케이션,경력5년","amplitude,tableau,ga4,sql","a/b테스트,추천알고리즘,이커머스,플랫폼,클라우드환경,데이터분석,프로덕트분석,통계,대시보드구축","인과추론,이커머스플랫폼에대한이해,협업능력,스타트업경험,그로스해킹","gcp,bigquery,tableau",패션,2011,137,4111,중소기업,999,999,nan,링크드인지원,3.1,2.8,3.4,3.1,2.7,2.8,59,68,44,"퇴사율5%이하
51~300명
설립10년이상
유연근무
자율복장
사내카페
사내식당
대출지원
건강검진
의료비
복지포인트
it,컨텐츠",999,999,https://www.linkedin.com/jobs/search/?currentjobid=3876184425&distance=25&geoid=105149562&keywords=data%20analyst&origin=jobs_home_keyword_history&refresh=true,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
213,213,링크드인,dataanalyst,talentdisruptor,dataanalyst,데이터분석가,999,999,0,0,999,nan,999,999,999,풀타임,서울,999,재택,"데이터분석,코호트분석,funnel분석,a/b테스트,데이터시각화,예측모델링,머신러닝","논리적사고,분석적사고,협업능력,세밀함,적극적,예측적,커뮤니케이션,인사이트도출,통찰력,정확성,마케팅전략도출","googledatastudio,bigquery,powerbi,amplitude,tableau,ga4",999,999,999,채용,999,5,999,999,999,999,nan,링크드인지원,999.0,999.0,999.0,999.0,999.0,999.0,999,999,999,999,999,999,https://www.linkedin.com/jobs/search/?currentjobid=3860725692&distance=25&geoid=105149562&keywords=data%20analyst&origin=jobs_home_keyword_history&refresh=true,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
214,214,링크드인,dataanalyst,캘러웨이골프코리아,businessintelligenceanalyst,bi분석가,999,999,999,999,999,999,999,999,999,풀타임,서울,999,999,"데이터분석,레포트작성,대시보드구축","영어로소통,경력4년","sapbi,sapbo,bex/a-office,saperp(ecc,s/4hana)",999,"iticket-based로업무처리능력,문제정의,협력능력,커뮤니케이션",999,스포츠,999,166,6399,중소기업,999,"2,962억1,954만원",nan,링크드인지원,3.2,2.8,3.7,2.8,2.2,2.6,43,55,20,999,999,999,https://www.linkedin.com/jobs/search/?currentjobid=3863653065&distance=25&geoid=105149562&keywords=data%20analyst&origin=jobs_home_keyword_history&refresh=true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,215,링크드인,dataanalyst,잡플래닛(브레인커머스),businessdataanalyst(teamlead),비즈니스데이터분석가,999,1,10,999,"[우대]관련석사,박사","datascience,appliedscience,econometrics,operationalresearch,statistics",999,서류전형>1차실무인터뷰>2차협업부서인터뷰>3차최종인터뷰>최종합격(전형절차는상황에따라변동될수있습니다),999,풀타임,서울,999,999,"데이터분석,머신러닝,딥러닝,funnel분석,코호트분석,retention,aarrr,app/web서비스데이터,대시보드구축,사용자행동로그,clv,a/b테스트,데이터레이크,데이터마트,데이터웨어하우스,dataqualitymanagement,datagovernance,data/businessglossary,모델링,알고리즘,프레임워크,지표설정,개발및운영,데이터시각화","논리적사고,분석적사고,팀리딩,서비스리딩,인과추론,가설검증,ai활용능력,커뮤니케이션,협업능력,방향성제시,서비스개선,리더십,분석방법론,경력10년","sql,python,tableau,lookerstudio,powerbi","kpisetting,데이터파이프라인구축,데이터마트구축,클라우드환경,gtm이벤트설계","조직관리,목표및전략수립,신사업참여경험,협업능력,데이터리터러시,분석환경구축경험","amplitude,braze,appsflyer,pa,mmptool",채용,2013,130,5530,중소기업,999,"116억8,361만원",nan,링크드인지원,3.6,3.2,4.0,3.6,3.2,3.5,72,73,62,999,999,999,https://www.linkedin.com/jobs/search/?currentjobid=3885141048&distance=25&geoid=105149562&keywords=data%20analyst&origin=jobs_home_keyword_history&refresh=true,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
216,216,링크드인,dataanalyst,42dot,dataanalyst,데이터분석가,999,999,2,999,999,nan,999,999,999,풀타임,서울,999,재택대면혼합,"데이터분석,비즈니스분석,기획,전략","문제정의,인사이트도출,협업능력,커뮤니케이션,경력2년",없음,"차량데이터,데이터분석,데이터시각화,머신러닝,딥러닝,모델링,빅데이터,실시간데이터처리,대시보드구축","차량데이터분석경험,프로젝트경험,서비스개발경험","tableau,bi,spark,flink",모빌리티,2019,540,6032,중소기업,999,33억4백만원,nan,링크드인지원,999.0,999.0,999.0,999.0,999.0,999.0,999,999,999,"연봉상위6~10%인원급성장301~1,000명설립4~9년인공지능it,컨텐츠",999,999,https://www.linkedin.com/jobs/search/?currentjobid=3901011980&distance=25&geoid=105149562&keywords=data%20analyst&origin=jobs_home_keyword_history&refresh=true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,217,링크드인,dataanalyst,아고다,analyst/senioranalyst,데이터분석가,999,999,4,999,관련mba/석사,"컴퓨터과학,수학,공학,과학,경제또는금융",이력서,999,999,풀타임,서울,999,999,"데이터분석,데이터사이언스,비즈니스분석,bi,데이터시각화,모델링,회귀,로지스틱회귀,랜덤포레스트,머신러닝,통계모델링,a/b테스트,자동화,프로그래밍언어","컴퓨터과학/수학/공학/과학/경제또는금융학사,커뮤니케이션,주도적,가설검증,인사이트도출,창의성,영어로소통,협업능력,문제해결능력,경력3~5년","tableau,excel,sql,python,r","여행,전자상거래,컨설팅,it","관련전공,관련자격증,석사,mba,아시아시장경험",999,여행,2017,4000,"4,984",중소기업,999,"127억9,266만원",nan,링크드인지원,2.8,2.7,3.7,3.1,2.6,2.4,37,49,28,"it,컨텐츠",144,216,https://www.linkedin.com/jobs/search/?currentjobid=3750891553&distance=25&geoid=105149562&keywords=data%20analyst&origin=jobs_home_keyword_history&refresh=true,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,218,링크드인,dataanalyst,클로버추얼패션(clovirtualfashion),dataanalyst,데이터분석가,999,999,0,0,999,nan,"이력서,포트폴리오(선택)",[서류검토]→[1차인터뷰]→[2차인터뷰(+referencecheck)]→[처우협의]→[최종합격],999,풀타임,서울,999,대면,"비즈니스분석,데이터분석,데이터추출,데이터가공,데이터시각화,app/web서비스데이터,funnel분석,코호트분석,retention,aarrr,사용자행동로그,clv,a/b테스트,통계적지식","논리적사고,문제해결능력,인사이트도출,결과해석,영어로소통,통찰력,액션도출,경력3년","sql,tableau,googledatastudio","app/web서비스데이터,사용자행동로그,데이터수집,데이터가공,데이터분석,디지털마케팅","마케팅이해,구독비즈니스이해,프로젝트경험,agile한조직경험,스타트업경험",999,패션,2009,153,5987,중소기업,999,311억,nan,링크드인지원,3.1,3.0,4.2,3.3,3.0,2.9,63,59,59,"연봉업계평균이상,지속성장중인기업,퇴사율10%이하,커피

샐러드

과일

간식

건강검진

자기계발

유연근무

복지포인트

연봉상위6~10%

인원급성장

51~300명

설립10년이상

퇴사율6~10%

사택

it,컨텐츠",13,26,https://www.linkedin.com/jobs/search/?currentjobid=3856759772&distance=25&geoid=105149562&keywords=data%20analyst&origin=jobs_home_keyword_history&refresh=true,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
